ID,uniorg,interests,subject,grad_date,course_level,branch_name,age,gender,space_word,mtype,status,registration_date
2205,Lancaster University,careers;jobs;skills;volunteer;mentor,Theoretical Physics,2019,undergrad,Lancaster University Physics society (LUPhys),0,male,Slingshot,Member,150,29/12/2016
2206,University of Derby,careers;jobs;skills;volunteer;mentor,Computer Sciece,2018,undergrad,,0,male,Rendezvous,Member,150,30/12/2016
2207,Plymouth University,careers;jobs;skills;volunteer;mentor,Chemistry,2019,undergrad,Plymouth University Space Society,0,male,Quasar,Member,150,31/12/2016
2208,University of Bristol,careers;jobs;skills;volunteer,Aerospace Engineering,2017,undergrad,Bristol SEDS,0,male,Elon,Member,150,01/01/2017
2209,University of Edinburgh,careers;jobs;skills;volunteer;mentor,Astrophysics,2020,undergrad,,0,female,Nebula (or perihelion),Member,150,02/01/2017
2210,University of Glasgow,careers;jobs;skills;volunteer,Neuroscience,2017,undergrad,,0,female,Galaxy,Member,150,02/01/2017
2211,University of Birmingham,careers;jobs;skills;volunteer;mentor,Physics,2019,undergrad,,0,female,Helioseismology,Member,150,03/01/2017
2212,University of Bath,careers;jobs;skills;volunteer;mentor,Aerospace Engineering,2018,undergrad,Bath SpaceSoc,0,male,Space Environment!,Member,150,08/01/2017
2213,University of Oxford,careers;jobs;volunteer;mentor,Chemistry,2020,undergrad,,0,male,astronaut,Member,150,11/01/2017
2214,,careers;jobs;skills,,,,,0,female,Multiverse,Member,150,13/01/2017
2215,Durham University,careers;jobs;skills;volunteer,Mathematics,2019,undergrad,,0,male,Magnetosphere,Member,150,14/01/2017
2216,Open University,careers;jobs;skills;volunteer,Natural Sciences (Astronomy and Planetary Science),2023,undergrad,,0,female,Billowing Bug Nebula,Member,150,15/01/2017
2217,Kingston University,careers;jobs;skills;volunteer,Astronautics,2019,undergrad,,0,female,Andromeda,Member,150,15/01/2017
2218,University of the West of England,careers;jobs;skills,Aeronautical Engineering,2016,undergrad,,0,male,,Member,150,18/01/2017
